p_val,avg_log2FC,pct.1,pct.2,p_val_adj,expression
1.10699247409691e-10,-0.592541926709561,0.991,0.997,2.37881612758684e-06,Unchanged
1.14007118366917e-10,-1.50223253742163,1,1,2.44989896658669e-06,Down-regulated
1.19041104596456e-10,0.542345985341365,0.417,0.146,2.55807429667324e-06,Unchanged
1.22884389948377e-10,0.521614960412826,0.513,0.378,2.64066265560068e-06,Unchanged
1.27065836571541e-10,-0.857244197500371,0.991,0.999,2.73051776208584e-06,Unchanged
1.30923430029994e-10,-1.58717210479962,0.974,0.996,2.81341358791454e-06,Down-regulated
1.31782550474358e-10,0.151638832726671,0.504,0.373,2.83187522714349e-06,Unchanged
1.34127262882073e-10,-0.0543205921663601,0.557,0.628,2.88226075207286e-06,Unchanged
1.49223714987567e-10,-0.0302024484654726,0.513,0.454,3.20666841136784e-06,Unchanged
1.50321651967975e-10,0.117045276810048,0.461,0.359,3.23026197913981e-06,Unchanged
1.6695516465559e-10,0.123964690749838,0.374,0.279,3.58769953328398e-06,Unchanged
1.9625229512016e-10,1.07842124841455,0.591,0.321,4.21726556983712e-06,Unchanged
2.41528418458824e-10,0.163282972151753,0.357,0.272,5.19020418426167e-06,Unchanged
2.76994588396306e-10,-0.223863545881987,0.67,0.731,5.95233671004823e-06,Unchanged
2.85314461171282e-10,0.5985155335356,0.574,0.256,6.13112245610968e-06,Unchanged
3.32073528405626e-10,-2.41637583197303,0.043,0.242,7.1359280519085e-06,Down-regulated
3.65512820533606e-10,-0.0761364133582805,0.609,0.566,7.85450500044667e-06,Unchanged
3.72491316795141e-10,-0.756794612371013,1,1,8.00446590661078e-06,Unchanged
4.48087123344403e-10,-1.73065035431696,0.991,0.999,9.62894419354787e-06,Down-regulated
4.73871333651068e-10,0.139369517707577,0.322,0.28,1.01830210888278e-05,Unchanged
4.9123611121716e-10,-2.03362668875004,0.07,0.408,1.05561727939456e-05,Down-regulated
5.67235967688756e-10,0.364278719144936,0.53,0.318,1.21893337096637e-05,Unchanged
5.68418696256797e-10,0.0828732005427142,0.33,0.29,1.22147493638623e-05,Unchanged
6.56360252797321e-10,-0.0934403594656124,0.713,0.731,1.41045254723616e-05,Unchanged
7.00475730861128e-10,-0.398780934629948,0.861,0.922,1.50525229804748e-05,Unchanged
7.02272469809192e-10,0.471646021407022,0.374,0.145,1.50911331037297e-05,Unchanged
7.73788093620153e-10,0.584518786130234,0.357,0.124,1.66279323438035e-05,Unchanged
9.18374866952235e-10,0.0330349463543269,0.426,0.41,1.97349575159366e-05,Unchanged
9.41963067419256e-10,0.48204554522891,0.478,0.214,2.02418443557724e-05,Unchanged
1.0344455148857e-09,0.394192329110671,0.365,0.157,2.22291996693789e-05,Unchanged
1.11602248606662e-09,-2.43538622756572,0.035,0.222,2.39822072030855e-05,Down-regulated
1.11891669616401e-09,-0.154233491511151,0.687,0.776,2.40444008838685e-05,Unchanged
1.22526112814055e-09,0.158572748602237,0.548,0.426,2.63296363826122e-05,Unchanged
1.36087135501235e-09,-0.0789561682811346,0.522,0.622,2.92437645478604e-05,Unchanged
1.58997557011336e-09,2.01428482843233,0.67,0.306,3.41669850261661e-05,Up-regulated
1.59700069624109e-09,0.550245353874165,0.452,0.152,3.43179479615247e-05,Unchanged
1.70434719339007e-09,1.88407230722933,0.67,0.303,3.66247168387593e-05,Up-regulated
